bbdd,algorithm,seed,folds,n,ensemble,boosting,RF,bagSize,score,fm,precision,recall,time(s)
2018_Financial_Data,mAnDE,2,3,1,false,false,false,0,99.9544626593807,0.9994641569561382,0.9996719160104988,0.9992570579494799,2.9693333333333336
2018_Financial_Data,mAnDE,11,3,1,true,false,false,100,72.19945355191257,0.6912960405870808,0.685877314248893,0.7056566524777581,0.7086666666666667
2018_Financial_Data,mAnDE,11,3,1,true,false,true,100,99.9544626593807,0.9994641569561382,0.9996719160104988,0.9992570579494799,2.8553333333333333
2018_Financial_Data,mAnDE,11,3,1,true,false,false,10,72.19945355191257,0.6912960405870808,0.685877314248893,0.7056566524777581,0.6586666666666666
2018_Financial_Data,mAnDE,11,3,1,true,false,true,10,82.44535519125684,0.7881075931691721,0.7968555062437959,0.7811825900823334,0.8086666666666666
2018_Financial_Data,mAnDE,2,3,2,true,false,false,100,72.22222222222223,0.6909051263148058,0.6854770514308359,0.7045768742579116,0.791
2018_Financial_Data,mAnDE,5,3,2,false,false,false,0,86.58925318761385,0.8213526338851476,0.895429988468802,0.7911549895168584,21.485666666666667
2018_Financial_Data,mAnDE,11,3,1,true,false,false,1,72.19945355191257,0.6912960405870808,0.685877314248893,0.7056566524777581,0.6253333333333334
2018_Financial_Data,mAnDE,11,3,1,true,false,true,1,78.93897996357013,0.6871202937215426,0.8342062859372086,0.6682066169160539,0.4363333333333333
2018_Financial_Data,mAnDE,11,3,2,true,false,false,100,72.19945355191257,0.6912960405870808,0.685877314248893,0.7056566524777581,0.7886666666666666
2018_Financial_Data,mAnDE,11,3,2,true,false,true,100,86.02003642987249,0.8144982439611745,0.8837497494691366,0.7858073189792181,16.305666666666667
2018_Financial_Data,mAnDE,11,3,2,true,false,false,10,72.19945355191257,0.6912960405870808,0.685877314248893,0.7056566524777581,0.6193333333333334
2018_Financial_Data,mAnDE,11,3,2,true,false,true,10,80.03187613843352,0.7177981541411084,0.82046615035059,0.6951593642406332,1.1773333333333333
2018_Financial_Data,mAnDE,11,3,2,true,false,false,1,72.19945355191257,0.6912960405870808,0.685877314248893,0.7056566524777581,0.5853333333333334
2018_Financial_Data,mAnDE,11,3,2,true,false,true,1,82.33151183970855,0.7468337430216068,0.8764055346081336,0.7181654453408314,0.4363333333333333
2018_Financial_Data,mAnDE,2,3,2,true,false,true,100,85.74681238615665,0.8115491752939112,0.8771798585028581,0.7838375225248517,18.175666666666668
2018_Financial_Data,mAnDE,5,3,2,true,true,false,0,86.58925318761385,0.8213526338851476,0.895429988468802,0.7911549895168584,19.712
2018_Financial_Data,mAnDE,2,3,2,true,false,false,10,72.22222222222223,0.6909051263148058,0.6854770514308359,0.7045768742579116,0.6856666666666666
2018_Financial_Data,mAnDE,7,3,1,false,false,false,0,99.97723132969034,0.9997321340844557,0.9998359041680341,0.99962852897474,3.1696666666666666
2018_Financial_Data,mAnDE,2,3,2,true,false,true,10,80.4872495446266,0.7253777298016657,0.8265362595909518,0.7017594994629158,1.0746666666666667
2018_Financial_Data,mAnDE,7,3,1,true,true,false,0,99.97723132969034,0.9997321340844557,0.9998359041680341,0.99962852897474,3.1736666666666666
2018_Financial_Data,mAnDE,2,3,2,true,false,false,1,72.22222222222223,0.6909051263148058,0.6854770514308359,0.7045768742579116,0.5983333333333334
2018_Financial_Data,mAnDE,7,3,2,false,false,false,0,86.02003642987249,0.8143868551141409,0.8841411564625851,0.7855999976584886,24.536
2018_Financial_Data,mAnDE,2,3,2,true,false,true,1,76.66211293260474,0.6676180065718871,0.7586370778612115,0.6532428957081072,0.484
2018_Financial_Data,mAnDE,7,3,2,true,true,false,0,86.02003642987249,0.8143868551141409,0.8841411564625851,0.7855999976584886,24.291
2018_Financial_Data,mAnDE,11,3,1,false,false,false,0,99.9544626593807,0.9994641569561382,0.9996719160104988,0.9992570579494799,3.16
2018_Financial_Data,mAnDE,11,3,1,true,true,false,0,99.9544626593807,0.9994641569561382,0.9996719160104988,0.9992570579494799,3.0226666666666664
2018_Financial_Data,mAnDE,11,3,2,false,false,false,0,86.02003642987249,0.8144982439611745,0.8837497494691366,0.7858073189792181,21.209666666666667
2018_Financial_Data,mAnDE,11,3,2,true,true,false,0,86.02003642987249,0.8144982439611745,0.8837497494691366,0.7858073189792181,20.705333333333332
2018_Financial_Data,mAnDE,2,3,1,true,true,false,0,99.9544626593807,0.9994641569561382,0.9996719160104988,0.9992570579494799,3.006
2018_Financial_Data,mAnDE,3,3,1,true,false,false,100,72.35883424408014,0.6931147595332114,0.6876211634334378,0.7076349856923898,0.797
2018_Financial_Data,mAnDE,3,3,1,true,false,true,100,99.88615664845173,0.998659556619663,0.9991805965257292,0.9981426448736999,2.8226666666666667
2018_Financial_Data,mAnDE,2,3,1,true,false,false,100,72.22222222222223,0.6909051263148058,0.6854770514308359,0.7045768742579116,0.7896666666666666
2018_Financial_Data,mAnDE,2,3,2,false,false,false,0,85.74681238615665,0.8115491752939112,0.8771798585028581,0.7838375225248517,19.38433333333333
2018_Financial_Data,mAnDE,3,3,1,true,false,false,10,72.35883424408014,0.6931147595332114,0.6876211634334378,0.7076349856923898,0.6763333333333333
2018_Financial_Data,mAnDE,3,3,1,true,false,true,10,84.49453551912568,0.8105676329688036,0.8252786063399891,0.7998951685839417,0.839
2018_Financial_Data,mAnDE,3,3,1,true,false,false,1,72.35883424408014,0.6931147595332114,0.6876211634334378,0.7076349856923898,0.6213333333333334
2018_Financial_Data,mAnDE,3,3,1,true,false,true,1,75.18214936247723,0.6339888069971559,0.7429335751359669,0.6259874592552628,0.465
